,form_type_description,filing_date,reporting_date,company_url,company_cik
1,PREC14A	Preliminary proxy statements contested solicitations,	2022-04-04		,,https://www.sec.gov/Archives/edgar/data/0000063908/000119312522095108/0001193125-22-095108-index.htm,0000063908
17,8-K	Current report,	2021-07-28,	2021-07-28	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000028/0000063908-21-000028-index.htm,0000063908
18,UPLOAD	SEC-generated letter,	2021-06-21		,,https://www.sec.gov/Archives/edgar/data/0000063908/000000000021007575/0000000000-21-007575-index.htm,0000063908
19,11-K	Annual report of employee stock purchase savings and similar plans,	2021-06-17,	2020-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000119312521193015/0001193125-21-193015-index.htm,0000063908
20,CORRESP	Correspondence,	2021-06-15		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000026/0000063908-21-000026-index.htm,0000063908
21,UPLOAD	SEC-generated letter,	2021-06-02		,,https://www.sec.gov/Archives/edgar/data/0000063908/000000000021006838/0000000000-21-006838-index.htm,0000063908
22,SD	Form - SD,	2021-05-27		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000024/0000063908-21-000024-index.htm,0000063908
23,8-K	Current report,	2021-05-26,	2021-05-20	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000021/0000063908-21-000021-index.htm,0000063908
24,PX14A6G	Notice of exempt solicitation submitted by non-management,	2021-05-12		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773921000054/0001377739-21-000054-index.htm,0000063908
25,PX14A6G	Notice of exempt solicitation submitted by non-management,	2021-05-06		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773921000052/0001377739-21-000052-index.htm,0000063908
26,10-Q	Quarterly report [Sections 13 or 15(d)],	2021-05-05,	2021-03-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000018/0000063908-21-000018-index.htm,0000063908
27,PX14A6G	Notice of exempt solicitation submitted by non-management,	2021-05-04		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773921000050/0001377739-21-000050-index.htm,0000063908
28,PX14A6G	Notice of exempt solicitation submitted by non-management,	2021-05-04		,,https://www.sec.gov/Archives/edgar/data/0000063908/000121465921004862/0001214659-21-004862-index.htm,0000063908
29,8-K	Current report,	2021-04-29,	2021-04-29	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000016/0000063908-21-000016-index.htm,0000063908
30,PX14A6G	Notice of exempt solicitation submitted by non-management,	2021-04-29		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773921000043/0001377739-21-000043-index.htm,0000063908
31,PX14A6G	Notice of exempt solicitation submitted by non-management,	2021-04-26		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773921000039/0001377739-21-000039-index.htm,0000063908
32,DEFA14A	Additional definitive proxy soliciting materials and Rule 14(a)(12) material,	2021-04-08		,,https://www.sec.gov/Archives/edgar/data/0000063908/000120677421001040/0001206774-21-001040-index.htm,0000063908
33,DEF 14A	Other definitive proxy statements,	2021-04-08,	2021-05-20	,https://www.sec.gov/Archives/edgar/data/0000063908/000120677421001039/0001206774-21-001039-index.htm,0000063908
34,10-K	Annual report [Section 13 and 15(d) not S-K Item 405],	2021-02-23,	2020-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000013/0000063908-21-000013-index.htm,0000063908
35,8-K	Current report,	2021-02-18,	2021-02-16	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000007/0000063908-21-000007-index.htm,0000063908
36,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2021-02-16		,,https://www.sec.gov/Archives/edgar/data/0000063908/000009375121000417/0000093751-21-000417-index.htm,0000063908
37,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2021-02-10		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465921018605/0001104659-21-018605-index.htm,0000063908
38,DEFA14A	Additional definitive proxy soliciting materials and Rule 14(a)(12) material,	2021-02-02		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000004/0000063908-21-000004-index.htm,0000063908
39,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2021-01-29		,,https://www.sec.gov/Archives/edgar/data/0000063908/000083423721004710/0000834237-21-004710-index.htm,0000063908
40,8-K	Current report,	2021-01-28,	2021-01-28	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000002/0000063908-21-000002-index.htm,0000063908
41,10-Q	Quarterly report [Sections 13 or 15(d)],	2020-11-09,	2020-09-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000076/0000063908-20-000076-index.htm,0000063908
42,8-K	Current report,	2020-11-09,	2020-11-09	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000075/0000063908-20-000075-index.htm,0000063908
43,8-K	Current report,	2020-11-09,	2020-11-09	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000074/0000063908-20-000074-index.htm,0000063908
44,8-K	Current report,	2020-10-15,	2020-10-12	,https://www.sec.gov/Archives/edgar/data/0000063908/000090342320000074/0000903423-20-000074-index.htm,0000063908
45,8-K	Current report,	2020-10-08,	2020-10-08	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000066/0000063908-20-000066-index.htm,0000063908
46,10-Q	Quarterly report [Sections 13 or 15(d)],	2020-08-10,	2020-06-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000063/0000063908-20-000063-index.htm,0000063908
47,8-K	Current report,	2020-08-10,	2020-08-10	,https://www.sec.gov/Archives/edgar/data/0000063908/000089882220000056/0000898822-20-000056-index.htm,0000063908
48,8-K	Current report,	2020-07-28,	2020-07-28	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000060/0000063908-20-000060-index.htm,0000063908
49,UPLOAD	SEC-generated letter,	2020-07-08		,,https://www.sec.gov/Archives/edgar/data/0000063908/000000000020006132/0000000000-20-006132-index.htm,0000063908
50,CORRESP	Correspondence,	2020-06-29		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000056/0000063908-20-000056-index.htm,0000063908
51,8-K	Current report,	2020-06-16,	2020-06-16	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000054/0000063908-20-000054-index.htm,0000063908
52,11-K	Annual report of employee stock purchase savings and similar plans,	2020-06-11,	2019-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000119312520166496/0001193125-20-166496-index.htm,0000063908
53,CORRESP	Correspondence,	2020-06-11		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000052/0000063908-20-000052-index.htm,0000063908
54,UPLOAD	SEC-generated letter,	2020-06-09		,,https://www.sec.gov/Archives/edgar/data/0000063908/000000000020005106/0000000000-20-005106-index.htm,0000063908
55,SD	Form - SD,	2020-05-29		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000050/0000063908-20-000050-index.htm,0000063908
56,8-K	Current report,	2020-05-22,	2020-05-21	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000048/0000063908-20-000048-index.htm,0000063908
57,PX14A6G	Notice of exempt solicitation submitted by non-management,	2020-05-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773920000027/0001377739-20-000027-index.htm,0000063908
58,CORRESP	Correspondence,	2020-05-11		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000046/0000063908-20-000046-index.htm,0000063908
59,10-Q	Quarterly report [Sections 13 or 15(d)],	2020-05-07,	2020-03-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000042/0000063908-20-000042-index.htm,0000063908
60,PX14A6G	Notice of exempt solicitation submitted by non-management,	2020-05-05		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773920000023/0001377739-20-000023-index.htm,0000063908
61,PX14A6G	Notice of exempt solicitation submitted by non-management,	2020-05-01		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773920000017/0001377739-20-000017-index.htm,0000063908
62,8-K	Current report,	2020-04-30,	2020-04-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000039/0000063908-20-000039-index.htm,0000063908
63,UPLOAD	SEC-generated letter,	2020-04-28		,,https://www.sec.gov/Archives/edgar/data/0000063908/000000000020003608/0000000000-20-003608-index.htm,0000063908
64,PX14A6G	Notice of exempt solicitation submitted by non-management,	2020-04-28		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773920000015/0001377739-20-000015-index.htm,0000063908
65,PX14A6G	Notice of exempt solicitation submitted by non-management,	2020-04-23		,,https://www.sec.gov/Archives/edgar/data/0000063908/000137773920000007/0001377739-20-000007-index.htm,0000063908
66,DEFA14A	Additional definitive proxy soliciting materials and Rule 14(a)(12) material,	2020-04-09		,,https://www.sec.gov/Archives/edgar/data/0000063908/000120677420001118/0001206774-20-001118-index.htm,0000063908
67,DEF 14A	Other definitive proxy statements,	2020-04-09,	2020-05-21	,https://www.sec.gov/Archives/edgar/data/0000063908/000120677420001117/0001206774-20-001117-index.htm,0000063908
68,8-K	Current report,	2020-04-08,	2020-04-08	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000035/0000063908-20-000035-index.htm,0000063908
69,8-K	Current report,	2020-03-27,	2020-03-27	,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920039674/0001104659-20-039674-index.htm,0000063908
70,424B2	Prospectus [Rule 424(b)(2)],	2020-03-26		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920038861/0001104659-20-038861-index.htm,0000063908
71,424B2	Prospectus [Rule 424(b)(2)],	2020-03-26		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920038849/0001104659-20-038849-index.htm,0000063908
72,424B2	Prospectus [Rule 424(b)(2)],	2020-03-26		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920038846/0001104659-20-038846-index.htm,0000063908
73,424B2	Prospectus [Rule 424(b)(2)],	2020-03-26		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920038843/0001104659-20-038843-index.htm,0000063908
74,8-K	Current report,	2020-03-26,	2020-03-25	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000031/0000063908-20-000031-index.htm,0000063908
75,FWP	Filing under Securities Act Rules 163/433 of free writing prospectuses,	2020-03-25		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000028/0000063908-20-000028-index.htm,0000063908
76,8-K	Current report,	2020-03-25,	2020-03-25	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000026/0000063908-20-000026-index.htm,0000063908
77,8-K	Current report,	2020-03-17,	2020-03-16	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000024/0000063908-20-000024-index.htm,0000063908
78,8-K	Current report,	2020-03-05,	2020-03-05	,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920029725/0001104659-20-029725-index.htm,0000063908
79,424B2	Prospectus [Rule 424(b)(2)],	2020-03-04		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920029076/0001104659-20-029076-index.htm,0000063908
80,424B2	Prospectus [Rule 424(b)(2)],	2020-03-04		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920029075/0001104659-20-029075-index.htm,0000063908
81,424B2	Prospectus [Rule 424(b)(2)],	2020-03-04		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920029073/0001104659-20-029073-index.htm,0000063908
82,FWP	Filing under Securities Act Rules 163/433 of free writing prospectuses,	2020-03-03		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920028696/0001104659-20-028696-index.htm,0000063908
83,10-K	Annual report [Section 13 and 15(d) not S-K Item 405],	2020-02-26,	2019-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000022/0000063908-20-000022-index.htm,0000063908
84,8-K	Current report,	2020-02-21,	2020-02-18	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000016/0000063908-20-000016-index.htm,0000063908
85,SC 13G	Statement of acquisition of beneficial ownership by individuals,	2020-02-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000009375120000548/0000093751-20-000548-index.htm,0000063908
86,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2020-02-12		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465920017983/0001104659-20-017983-index.htm,0000063908
87,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2020-02-05		,,https://www.sec.gov/Archives/edgar/data/0000063908/000083423720006007/0000834237-20-006007-index.htm,0000063908
88,8-K	Current report,	2020-01-29,	2020-01-29	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000012/0000063908-20-000012-index.htm,0000063908
89,8-K/A	Current report - amendment,	2020-01-27,	2019-12-05	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390820000005/0000063908-20-000005-index.htm,0000063908
90,8-K	Current report,	2019-12-10,	2019-12-05	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000092/0000063908-19-000092-index.htm,0000063908
91,8-K	Current report,	2019-11-25,	2019-11-19	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000087/0000063908-19-000087-index.htm,0000063908
92,10-Q	Quarterly report [Sections 13 or 15(d)],	2019-11-04,	2019-09-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000085/0000063908-19-000085-index.htm,0000063908
93,8-K	Current report,	2019-11-04,	2019-11-04	,https://www.sec.gov/Archives/edgar/data/0000063908/000089882219000080/0000898822-19-000080-index.htm,0000063908
94,8-K	Current report,	2019-10-22,	2019-10-22	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000075/0000063908-19-000075-index.htm,0000063908
95,8-K	Current report,	2019-09-20,	2019-09-19	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000070/0000063908-19-000070-index.htm,0000063908
96,8-K	Current report,	2019-08-12,	2019-08-12	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000066/0000063908-19-000066-index.htm,0000063908
97,424B2	Prospectus [Rule 424(b)(2)],	2019-08-08		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465919044896/0001104659-19-044896-index.htm,0000063908
98,424B2	Prospectus [Rule 424(b)(2)],	2019-08-08		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465919044893/0001104659-19-044893-index.htm,0000063908
99,FWP	Filing under Securities Act Rules 163/433 of free writing prospectuses,	2019-08-08		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465919044834/0001104659-19-044834-index.htm,0000063908
100,FWP	Filing under Securities Act Rules 163/433 of free writing prospectuses,	2019-08-07		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465919044564/0001104659-19-044564-index.htm,0000063908
101,10-Q	Quarterly report [Sections 13 or 15(d)],	2019-08-06,	2019-06-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000062/0000063908-19-000062-index.htm,0000063908
102,8-K	Current report,	2019-07-26,	2019-07-26	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000056/0000063908-19-000056-index.htm,0000063908
103,8-K	Current report,	2019-07-22,	2019-07-18	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000053/0000063908-19-000053-index.htm,0000063908
104,11-K	Annual report of employee stock purchase savings and similar plans,	2019-06-25,	2018-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000119312519181238/0001193125-19-181238-index.htm,0000063908
105,SD	Form - SD,	2019-05-30		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000051/0000063908-19-000051-index.htm,0000063908
106,8-K	Current report,	2019-05-30,	2019-05-23	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000049/0000063908-19-000049-index.htm,0000063908
107,10-Q	Quarterly report [Sections 13 or 15(d)],	2019-05-08,	2019-03-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000039/0000063908-19-000039-index.htm,0000063908
108,8-K	Current report,	2019-04-30,	2019-04-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000022/0000063908-19-000022-index.htm,0000063908
109,DEFA14A	Additional definitive proxy soliciting materials and Rule 14(a)(12) material,	2019-04-11		,,https://www.sec.gov/Archives/edgar/data/0000063908/000120677419001300/0001206774-19-001300-index.htm,0000063908
110,DEF 14A	Other definitive proxy statements,	2019-04-11,	2019-05-23	,https://www.sec.gov/Archives/edgar/data/0000063908/000120677419001299/0001206774-19-001299-index.htm,0000063908
111,S-8	Securities to be offered to employees in employee benefit plans,	2019-03-25		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000019/0000063908-19-000019-index.htm,0000063908
112,8-K	Current report,	2019-03-22,	2019-03-19	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000017/0000063908-19-000017-index.htm,0000063908
113,PRE 14A	Other preliminary proxy statements,	2019-03-22,	2019-05-23	,https://www.sec.gov/Archives/edgar/data/0000063908/000120677419000994/0001206774-19-000994-index.htm,0000063908
114,8-K	Current report,	2019-02-27,	2019-02-24	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000015/0000063908-19-000015-index.htm,0000063908
115,8-K	Current report,	2019-02-25,	2019-02-25	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000013/0000063908-19-000013-index.htm,0000063908
116,10-K	Annual report [Section 13 and 15(d) not S-K Item 405],	2019-02-22,	2018-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000010/0000063908-19-000010-index.htm,0000063908
117,SC 13G	Statement of acquisition of beneficial ownership by individuals,	2019-02-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000009375119000236/0000093751-19-000236-index.htm,0000063908
118,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2019-02-11		,,https://www.sec.gov/Archives/edgar/data/0000063908/000093247119005548/0000932471-19-005548-index.htm,0000063908
119,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2019-02-06		,,https://www.sec.gov/Archives/edgar/data/0000063908/000021545719004985/0000215457-19-004985-index.htm,0000063908
120,8-K	Current report,	2019-01-30,	2019-01-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000006/0000063908-19-000006-index.htm,0000063908
121,8-K	Current report,	2019-01-14,	2019-01-14	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390819000002/0000063908-19-000002-index.htm,0000063908
122,8-K	Current report,	2018-11-30,	2018-11-29	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000066/0000063908-18-000066-index.htm,0000063908
123,10-Q	Quarterly report [Sections 13 or 15(d)],	2018-11-01,	2018-09-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000064/0000063908-18-000064-index.htm,0000063908
124,8-K	Current report,	2018-10-23,	2018-10-23	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000060/0000063908-18-000060-index.htm,0000063908
125,8-K	Current report,	2018-09-24,	2018-09-20	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000054/0000063908-18-000054-index.htm,0000063908
126,8-K	Current report,	2018-09-21,	2018-09-20	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000052/0000063908-18-000052-index.htm,0000063908
127,8-K	Current report,	2018-08-16,	2018-08-15	,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918052321/0001104659-18-052321-index.htm,0000063908
128,424B2	Prospectus [Rule 424(b)(2)],	2018-08-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918051907/0001104659-18-051907-index.htm,0000063908
129,424B2	Prospectus [Rule 424(b)(2)],	2018-08-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918051902/0001104659-18-051902-index.htm,0000063908
130,424B2	Prospectus [Rule 424(b)(2)],	2018-08-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918051899/0001104659-18-051899-index.htm,0000063908
131,FWP	Filing under Securities Act Rules 163/433 of free writing prospectuses,	2018-08-13		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918051544/0001104659-18-051544-index.htm,0000063908
132,10-Q	Quarterly report [Sections 13 or 15(d)],	2018-08-02,	2018-06-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000049/0000063908-18-000049-index.htm,0000063908
133,S-3ASR	Automatic shelf registration statement of securities of well-known seasoned issuers,	2018-07-27		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918047601/0001104659-18-047601-index.htm,0000063908
134,8-K	Current report,	2018-07-26,	2018-07-26	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000046/0000063908-18-000046-index.htm,0000063908
135,8-K	Current report,	2018-07-19,	2018-07-19	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000042/0000063908-18-000042-index.htm,0000063908
136,11-K	Annual report of employee stock purchase savings and similar plans,	2018-06-27,	2017-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000119312518205788/0001193125-18-205788-index.htm,0000063908
137,S-8	Securities to be offered to employees in employee benefit plans,	2018-05-30		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000038/0000063908-18-000038-index.htm,0000063908
138,SD	Form - SD,	2018-05-30		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000035/0000063908-18-000035-index.htm,0000063908
139,8-K	Current report,	2018-05-30,	2018-05-24	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000033/0000063908-18-000033-index.htm,0000063908
140,8-K	Current report,	2018-05-23,	2018-05-22	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000027/0000063908-18-000027-index.htm,0000063908
141,424B2	Prospectus [Rule 424(b)(2)],	2018-05-21		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918034871/0001104659-18-034871-index.htm,0000063908
142,FWP	Filing under Securities Act Rules 163/433 of free writing prospectuses,	2018-05-18		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918034337/0001104659-18-034337-index.htm,0000063908
143,10-Q	Quarterly report [Sections 13 or 15(d)],	2018-05-08,	2018-03-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000025/0000063908-18-000025-index.htm,0000063908
144,PX14A6G	Notice of exempt solicitation submitted by non-management,	2018-05-02		,,https://www.sec.gov/Archives/edgar/data/0000063908/000138713118001857/0001387131-18-001857-index.htm,0000063908
145,8-K	Current report,	2018-04-30,	2018-04-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000019/0000063908-18-000019-index.htm,0000063908
146,DEFA14A	Additional definitive proxy soliciting materials and Rule 14(a)(12) material,	2018-04-27		,,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000017/0000063908-18-000017-index.htm,0000063908
147,DEFA14A	Additional definitive proxy soliciting materials and Rule 14(a)(12) material,	2018-04-12		,,https://www.sec.gov/Archives/edgar/data/0000063908/000120677418001177/0001206774-18-001177-index.htm,0000063908
148,DEF 14A	Other definitive proxy statements,	2018-04-12,	2018-05-24	,https://www.sec.gov/Archives/edgar/data/0000063908/000120677418001176/0001206774-18-001176-index.htm,0000063908
149,8-K	Current report,	2018-03-16,	2018-03-16	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000013/0000063908-18-000013-index.htm,0000063908
150,424B2	Prospectus [Rule 424(b)(2)],	2018-03-15		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918017844/0001104659-18-017844-index.htm,0000063908
151,424B2	Prospectus [Rule 424(b)(2)],	2018-03-15		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918017840/0001104659-18-017840-index.htm,0000063908
152,424B2	Prospectus [Rule 424(b)(2)],	2018-03-15		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918017834/0001104659-18-017834-index.htm,0000063908
153,FWP	Filing under Securities Act Rules 163/433 of free writing prospectuses,	2018-03-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465918017509/0001104659-18-017509-index.htm,0000063908
154,10-K	Annual report [Section 13 and 15(d) not S-K Item 405],	2018-02-23,	2017-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000010/0000063908-18-000010-index.htm,0000063908
155,8-K	Current report,	2018-02-23,	2018-02-19	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000009/0000063908-18-000009-index.htm,0000063908
156,SC 13G	Statement of acquisition of beneficial ownership by individuals,	2018-02-14		,,https://www.sec.gov/Archives/edgar/data/0000063908/000009375118000242/0000093751-18-000242-index.htm,0000063908
157,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2018-02-09		,,https://www.sec.gov/Archives/edgar/data/0000063908/000093247118004020/0000932471-18-004020-index.htm,0000063908
158,8-K	Current report,	2018-01-30,	2018-01-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390818000004/0000063908-18-000004-index.htm,0000063908
159,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2018-01-25		,,https://www.sec.gov/Archives/edgar/data/0000063908/000021545718003071/0000215457-18-003071-index.htm,0000063908
